fv_stats_with_gp,"          Mean     Std Error       LCB       UCB
0.50  0.997362  2.008681e-08  0.997275  0.997450
0.05  0.999918  3.479167e-10  0.999906  0.999929
0.01  0.999985  1.666667e-11  0.999982  0.999988"
fv_stats_wo_gp,"                                   Mean  Std Error       LCB       UCB
Classified Regions only             0.8   0.017778  0.717361  0.882639
Unclassified Regions only           1.0   0.000000  1.000000  1.000000
Classified + Unclassified Regions   1.8   0.017778  1.717361  1.882639"
falsified_true,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
first_falsification_mean,1.0
first_falsification_median,1.0
first_falsification_min,1
first_falsification_max,1
falsification_rate,10
best_robustness,-1.1667438701877915
first_falsification_point,"[array([1,
       array([-1.73999770e-01, -4.28044092e-02, -1.24431299e-01,  3.52175607e-03,
               1.27222370e-01,  4.12240266e-01,  7.01972233e+00])                ,
       -0.8385310418167615], dtype=object), array([1,
       array([-1.21701355,  0.0234331 , -0.03215013, -0.00998016,  0.13848731,
               0.46948961,  4.11622682])                                      ,
       -0.90759496501327], dtype=object), array([1,
       array([8.87586765e-01, 9.40920957e-04, 8.32392324e-02, 4.95004828e-02,
              5.12630392e-02, 5.16411860e-01, 9.90134805e+00])               ,
       -0.8038683311590844], dtype=object), array([1,
       array([ 4.71789114e-01, -8.41073114e-04,  8.27062248e-02, -4.80312540e-02,
               5.77876340e-02,  4.35591691e-01,  6.42158743e+00])                ,
       -0.6888129778710843], dtype=object), array([1,
       array([-9.51892402e-02, -4.53028073e-03, -1.82228991e-01, -6.67390376e-03,
               6.74985677e-02,  5.45453620e-01,  4.85412424e+00])                ,
       -0.7672711696627339], dtype=object), array([1,
       array([ 1.17333143,  0.01456107,  0.1396787 , -0.03192447,  0.09271603,
               0.47206475,  1.27768817])                                      ,
       -0.5692561382386412], dtype=object), array([1,
       array([-0.43988744, -0.01327002, -0.19406665, -0.04552229,  0.12743062,
               0.57715319,  5.67967921])                                      ,
       -0.826645798039565], dtype=object), array([1,
       array([ 0.81005253,  0.01184393, -0.02706485,  0.04968573,  0.06290197,
               0.47111735,  2.60296494])                                      ,
       -0.7866960196040442], dtype=object), array([1,
       array([ 1.72693028,  0.02828569, -0.08631424, -0.0404833 ,  0.09247082,
               0.44524215,  9.33312365])                                      ,
       -0.8806838653261035], dtype=object), array([1,
       array([-1.57025172,  0.02944201, -0.03199044, -0.04850494,  0.05240545,
               0.53058158,  9.02440525])                                      ,
       -0.6377286808761278], dtype=object)]"
non_falsification_points,[]
best_falsification_points,"[array([1583,
       array([ 1.9846163 , -0.00994062, -0.14449036,  0.02848615,  0.12448951,
               0.41715117,  6.09183966])                                      ,
       -1.0961498813689334], dtype=object), array([1972,
       array([-0.50434097,  0.03897715,  0.07030722, -0.01694132,  0.14771156,
               0.45801359,  9.62779863])                                      ,
       -1.140439378095793], dtype=object), array([1256,
       array([-1.43759064, -0.03356882,  0.08614964, -0.01990717,  0.14677713,
               0.44232775,  7.51732567])                                      ,
       -1.1233719046632662], dtype=object), array([1775,
       array([-1.73928873e-01,  1.13483212e-02,  1.87226489e-01, -6.64724124e-03,
               1.49014116e-01,  4.86696593e-01,  7.13073733e+00])                ,
       -1.165399042105879], dtype=object), array([1541,
       array([-1.50963746e+00, -2.20783156e-02, -4.75168845e-02,  4.88952793e-03,
               1.44787745e-01,  4.77141233e-01,  5.86321521e+00])                ,
       -1.1329973995199083], dtype=object), array([1479,
       array([-1.9793363 ,  0.04894993,  0.16110912,  0.01682406,  0.12659629,
               0.44275477,  8.22425676])                                      ,
       -1.1667438701877915], dtype=object), array([145,
       array([-1.03280908, -0.00915692,  0.17782001,  0.03024542,  0.14250654,
               0.49310452,  8.90786245])                                      ,
       -1.1640187132080606], dtype=object), array([712,
       array([-1.04685100e+00, -2.64383817e-03, -1.68398470e-01, -3.43065047e-02,
               1.34861556e-01,  5.15543785e-01,  9.56835830e+00])                ,
       -1.1340222854846433], dtype=object), array([1959,
       array([-1.55276547,  0.04075327, -0.06535342,  0.02123533,  0.14708513,
               0.55794496,  5.84604589])                                      ,
       -1.125332329805635], dtype=object), array([538,
       array([ 2.16840194e-01,  3.58597277e-02, -1.86360023e-01, -4.44033083e-03,
               1.47516751e-01,  5.06937710e-01,  6.52030151e+00])                ,
       -1.1105638552868795], dtype=object)]"
simulation_time_history,"[75.63510581478477, 75.91241632308811, 75.82665062695742, 76.2547789956443, 75.26745553128421, 75.66687885997817, 75.78181462734938, 75.80347430612892, 75.26685776701197, 75.98247868428007]"
non_simulation_time_history,"[89.00104954419658, 80.84209025092423, 90.30746642686427, 89.26718421839178, 90.44260740466416, 90.05559207312763, 91.91628796840087, 93.05161572108045, 87.89201318938285, 92.63664809754118]"
total_time_history,"[164.63615535898134, 156.75450657401234, 166.13411705382168, 165.52196321403608, 165.71006293594837, 165.7224709331058, 167.69810259575024, 168.85509002720937, 163.15887095639482, 168.61912678182125]"
mean_simulation_time,75.73979115365073
mean_non_simulation_time,89.5412554894574
mean_total_time,165.28104664310814
